Strategic,Monitor,On,Thursday,26-April-2018,filename:CCITY_20180426

Thursday,26-April-2018,00:00,SS,85M+,PL,8.3,PV,7.4,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,39,39,6,5,45,6,6,-,-,-,-,-,-,38
,183,L,7,AC,59,18,3,3,-,-,-,-,-,-,-,-,-,140
A=<37,B=46,C=#20
Thursday,26-April-2018,00:19,SS,10M+,PL,3.2,PV,3.2,CL,120,+0,RL,99,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,101,12,6,4,11,6,4,6,3,2,-,-,-,16
,354,S,31,B,19,16,3,1,21,3,2,0,0,0,-,-,-,19
,182,S,34,A,78,12,2,3,19,4,5,-,-,-,-,-,-,14
,2,L,14,AD,90,15,5,4,18,8,7,-,-,-,-,-,-,600
,2,L,15,AD,90,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
