Strategic,Monitor,On,Wednesday,06-June-2018,filename:CCITY_20180606

Wednesday,06-June-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,42,7,5,0,0,0,-,-,-,-,-,-,33
,183,L,7,AC,54,13,3,2,-,-,-,-,-,-,-,-,-,80
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:16,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,70,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,24,8,7,9,3,2,10,4,3,0,0,0,15
,288,S,270,B,13,39,2,2,49,2,2,-,-,-,-,-,-,22
A=<63,B=#32
Wednesday,06-June-2018,00:16,SS,85M+,PL,1.3,PV,1.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,99,-,-,-,34,12,10,9,4,2,-,-,-,29
,196,S,310,A,43,31,4,4,32,4,4,23,3,3,-,-,-,39
,196,S,311,ABE,67,0,0,0,25,5,5,18,4,4,12,2,3,29
,196,S,312,D,25,24,2,2,0,0,0,73,5,7,0,0,0,71
,197,L,71,ABF,34,32,3,4,56,5,7,-,-,-,-,-,-,320
,197,L,72,ABF,34,50,6,6,31,4,3,-,-,-,-,-,-,200
A=<9,B=20,C=#25,D=28,E=18
Wednesday,06-June-2018,00:16,SS,10,+,PL,2.2,PV,2.2,CL,69,+4,RL,62,SA,30,DS,30
