Strategic,Monitor,On,Monday,02-April-2018,filename:CCITY_20180402

Monday,02-April-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,88,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,2,L,15,AD,52,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Monday,02-April-2018,00:10,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,21,8,7,8,3,2,11,4,3,0,0,0,25
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:11,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,138,SA,310,DS,158
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,104,-,-,-,19,9,6,6,3,2,-,-,-,20
,196,S,310,A,59,37,5,6,64,10,10,166,5,29,-,-,-,158
,196,S,311,ABE,59,0,0,0,32,6,6,34,7,7,0,0,0,48
,196,S,312,D,38,71,4,7,50,7,6,26,4,4,0,0,0,55
,197,L,71,ABF,62,49,14,12,49,14,13,-,-,-,-,-,-,560
,197,L,72,ABF,62,29,6,6,17,5,4,-,-,-,-,-,-,400
A=<22,B=20,C=#25,D=20,E=17
Monday,02-April-2018,00:11,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,15,3,2,15,2,3,29,5,6,0,0,0,24
,183,S,21,B,24,23,3,2,0,0,0,0,0,0,-,-,-,36
,184,S,161,A,85,12,4,3,14,5,4,9,4,3,0,0,0,19
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,24,23,3,2,0,0,0,-,-,-,-,-,-,36
,183,L,7,AC,53,15,3,2,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Monday,02-April-2018,00:11,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,84,14,7,4,13,6,4,9,4,2,-,-,-,29
,354,S,31,B,18,17,2,1,31,3,2,27,3,2,-,-,-,14
,182,S,34,A,16,11,2,1,0,0,0,-,-,-,-,-,-,15
,2,L,14,AD,52,35,6,6,36,7,8,-,-,-,-,-,-,1300
,2,L,15,AD,52,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:11,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,13,5,4,0,0,0,21,8,6,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:13,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,21,5,4,8,2,2,11,3,3,0,0,0,24
,183,S,21,B,25,16,3,1,17,3,1,14,2,1,-,-,-,26
,184,S,161,A,74,14,5,3,26,8,7,10,4,3,0,0,0,22
,184,S,162,B,15,41,3,2,0,0,0,-,-,-,-,-,-,18
,183,S,183,B,25,16,3,1,17,3,1,-,-,-,-,-,-,26
,183,L,7,AC,61,21,5,4,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Monday,02-April-2018,00:13,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,7,3,2,7,3,2,5,2,1,-,-,-,17
,354,S,31,B,18,15,2,1,28,2,2,0,0,0,-,-,-,23
,182,S,34,A,41,0,0,0,6,2,1,-,-,-,-,-,-,9
,2,L,14,AD,72,9,3,2,20,7,6,-,-,-,-,-,-,1160
,2,L,15,AD,72,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:13,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,20,8,6,5,2,1,26,10,8,0,0,0,23
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:13,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,157
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,122,-,-,-,8,4,3,5,2,2,-,-,-,13
,196,S,310,A,67,26,6,5,52,10,10,150,9,30,-,-,-,157
,196,S,311,ABE,67,6,2,2,39,10,9,41,9,9,13,4,3,43
,196,S,312,D,27,64,3,5,18,3,2,31,4,3,31,4,2,62
,197,L,71,ABF,66,18,6,5,14,5,4,-,-,-,-,-,-,420
,197,L,72,ABF,66,40,9,9,29,9,7,-,-,-,-,-,-,420
A=<22,B=20,C=#25,D=20,E=17
Monday,02-April-2018,00:14,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,17,4,3,26,6,5,30,8,7,6,2,1,27
,183,S,21,B,34,74,11,8,64,8,7,10,2,1,-,-,-,44
,184,S,161,A,72,8,3,2,30,9,7,24,9,7,8,3,2,25
