Strategic,Monitor,On,Tuesday,29-May-2018,filename:CCITY_20180529

Tuesday,29-May-2018,00:00,SS,28M+,PL,7.3,PV,7.3,CL,60,+0,RL,44,SA,47,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,70,0,0,0,-,-,-,-,-,-,-,-,-,7
,145,S,10,C,14,12,2,1,11,2,1,0,0,0,-,-,-,26
,145,S,133,AB,57,14,5,4,25,6,5,-,-,-,-,-,-,17
,145,S,204,AB,57,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,57,14,5,4,25,6,5,-,-,-,-,-,-,17
,145,S,212,AC,70,0,0,0,-,-,-,-,-,-,-,-,-,7
,145,L,4,AB,57,14,5,4,25,6,5,-,-,-,-,-,-,280
A=<41,B=#23,C=32
Tuesday,29-May-2018,00:06,SS,28M+,PL,1.3,PV,1.2,CL,60,+0,RL,60,SA,47,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,19,0,0,0,0,0,0,-,-,-,-,-,-,5
,48,S,90,A,19,-,-,-,-,-,-,0,0,0,-,-,-,50
,48,S,91,BC,24,15,3,1,35,5,3,-,-,-,-,-,-,44
,48,S,213,A,19,-,-,-,-,-,-,0,0,0,-,-,-,50
,48,L,23,A,19,0,0,0,0,0,0,-,-,-,-,-,-,40
,48,L,49,A,19,-,-,-,-,-,-,0,0,0,-,-,-,540
A=<15,B=48,C=#22
Tuesday,29-May-2018,00:06,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,19,5,4,23,6,4,10,3,2,-,-,-,15
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,34
,182,S,34,A,61,0,0,0,29,6,6,-,-,-,-,-,-,23
A=<47,B=53
Tuesday,29-May-2018,00:06,SS,23M+,PL,1.3,PV,1.3,CL,68,+0,RL,44,SA,116,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,36,0,0,0,0,0,0,0,0,0,-,-,-,4
,152,S,131,A,36,10,2,1,13,2,2,-,-,-,-,-,-,17
,152,S,132,C,16,0,0,0,0,0,0,0,0,0,-,-,-,11
,193,L,57,ABCE,70,0,0,0,25,7,6,18,5,4,-,-,-,360
,193,L,58,AE,48,12,2,2,30,5,5,25,4,4,-,-,-,380
A=<74,B=1,C=26,D=1
Tuesday,29-May-2018,00:07,SS,28M+,PL,1.3,PV,2.3,CL,60,+0,RL,60,SA,47,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,37,11,2,2,25,4,3,-,-,-,-,-,-,13
,48,S,90,A,37,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,S,91,BC,36,47,3,6,0,0,0,-,-,-,-,-,-,48
,48,S,213,A,37,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,L,23,A,37,11,2,2,25,4,3,-,-,-,-,-,-,140
,48,L,49,A,37,-,-,-,-,-,-,0,0,0,-,-,-,360
A=<15,B=48,C=#22
Tuesday,29-May-2018,00:07,SS,3M+,PL,4.3,PV,0.3,CL,86,+0,RL,69,SA,200,DS,4
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,84,9,3,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,8
,145,S,133,AB,72,14,6,5,7,2,2,-,-,-,-,-,-,17
,145,S,204,AB,72,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,72,14,6,5,7,2,2,-,-,-,-,-,-,17
,145,S,212,AC,84,9,3,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,72,14,6,5,7,2,2,-,-,-,-,-,-,280
A=<41,B=#23,C=32
Tuesday,29-May-2018,00:07,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,24,22,3,2,23,3,2,0,0,0,-,-,-,19
,354,S,31,B,20,0,0,0,39,3,3,14,2,1,-,-,-,36
,182,S,34,A,49,0,0,0,14,3,2,-,-,-,-,-,-,20
A=<47,B=53
Tuesday,29-May-2018,00:07,SS,23M+,PL,3.3,PV,3.2,CL,69,+0,RL,60,SA,130,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,43,29,7,6,39,8,7,11,3,2,-,-,-,18
,152,S,131,A,43,20,3,3,28,6,4,-,-,-,-,-,-,20
,152,S,132,C,22,30,2,2,27,4,2,0,0,0,-,-,-,14
,193,L,57,ABCE,46,0,0,0,55,9,8,48,8,7,-,-,-,540
,193,L,58,AE,24,0,0,0,21,2,2,26,2,2,-,-,-,300
A=<68,B=1,C=32,D=1
Tuesday,29-May-2018,00:08,SS,28M+,PL,8.3,PV,8.3,CL,60,+0,RL,46,SA,47,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,19,0,0,0,79,4,5,-,-,-,-,-,-,44
,48,S,90,A,19,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,15,0,0,0,0,0,0,-,-,-,-,-,-,23
,48,S,213,A,19,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,19,0,0,0,79,4,5,-,-,-,-,-,-,240
,48,L,49,A,19,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<35,B=28,C=#22
Tuesday,29-May-2018,00:08,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,7,3,1,7,3,1,0,0,0,-,-,-,16
,354,S,31,B,14,46,2,2,105,5,6,0,0,0,-,-,-,60
,182,S,34,A,49,0,0,0,14,3,2,-,-,-,-,-,-,17
A=<47,B=53
Tuesday,29-May-2018,00:08,SS,23M+,PL,3.3,PV,7.2,CL,67,+0,RL,60,SA,130,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,44,14,4,3,14,4,3,14,4,3,-,-,-,19
,152,S,131,A,44,8,2,1,13,3,2,-,-,-,-,-,-,18
,152,S,132,C,16,0,0,0,54,2,3,0,0,0,-,-,-,34
,193,L,57,ABCE,55,0,0,0,13,3,2,8,2,1,-,-,-,400
,193,L,58,AE,33,0,0,0,0,0,0,0,0,0,-,-,-,160
A=<68,B=1,C=32,D=1
Tuesday,29-May-2018,00:08,SS,3M+,PL,8.3,PV,8.2,CL,86,+0,RL,69,SA,200,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,90,0,0,0,-,-,-,-,-,-,-,-,-,3
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,3
,145,S,133,AB,78,22,10,8,15,5,4,-,-,-,-,-,-,20
,145,S,204,AB,78,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,78,22,10,8,15,5,4,-,-,-,-,-,-,20
,145,S,212,AC,90,0,0,0,-,-,-,-,-,-,-,-,-,3
,145,L,4,AB,78,22,10,8,15,5,4,-,-,-,-,-,-,400
A=<54,B=#23,C=19
Tuesday,29-May-2018,00:09,SS,28M+,PL,8.3,PV,8.3,CL,60,+0,RL,45,SA,47,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,38,0,0,0,0,0,0,-,-,-,-,-,-,32
,48,S,90,A,38,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,10
,48,S,213,A,38,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,38,0,0,0,0,0,0,-,-,-,-,-,-,160
,48,L,49,A,38,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<35,B=28,C=#22
Tuesday,29-May-2018,00:09,SS,10,-,PL,3.2,PV,3.2,CL,60,-6,RL,60,SA,30,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,27,35,2,3,34,2,3,15,2,1,-,-,-,23
,354,S,31,B,15,18,2,1,0,0,0,0,0,0,-,-,-,51
,182,S,34,A,49,0,0,0,14,3,2,-,-,-,-,-,-,14
A=<53,B=47
Tuesday,29-May-2018,00:09,SS,23M-,PL,3.3,PV,3.3,CL,69,+0,RL,60,SA,116,DS,151
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,53,36,12,9,38,10,9,10,3,2,-,-,-,30
,152,S,131,A,53,11,3,2,6,2,1,-,-,-,-,-,-,15
,152,S,132,C,17,0,0,0,38,3,3,35,3,2,-,-,-,42
,193,L,57,ABCE,42,0,0,0,20,3,3,17,3,2,-,-,-,340
,193,L,58,AE,19,0,0,0,82,5,6,79,4,5,-,-,-,340
A=<68,B=1,C=32,D=1
Tuesday,29-May-2018,00:10,SS,28M+,PL,3.3,PV,3.3,CL,60,+0,RL,45,SA,51,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,59,0,0,0,6,2,1,-,-,-,-,-,-,20
,48,S,90,A,59,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,18,11,2,1,41,6,3,-,-,-,-,-,-,18
,48,S,213,A,59,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,59,0,0,0,6,2,1,-,-,-,-,-,-,100
,48,L,49,A,59,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<23,B=40,C=#22
Tuesday,29-May-2018,00:10,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,88,8,3,3,-,-,-,-,-,-,-,-,-,6
,145,S,10,C,16,65,4,4,20,2,1,33,2,2,-,-,-,29
,145,S,133,AB,73,15,6,5,6,2,1,-,-,-,-,-,-,17
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,15,6,5,6,2,1,-,-,-,-,-,-,17
,145,S,212,AC,88,8,3,3,-,-,-,-,-,-,-,-,-,6
,145,L,4,AB,73,15,6,5,6,2,1,-,-,-,-,-,-,340
A=<33,B=#23,C=40
Tuesday,29-May-2018,00:10,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,45,21,5,3,21,5,3,8,2,1,-,-,-,23
,354,S,31,B,16,0,0,0,23,2,1,0,0,0,-,-,-,39
,182,S,34,A,61,6,2,1,7,2,1,-,-,-,-,-,-,11
A=<53,B=47
Tuesday,29-May-2018,00:11,SS,28M+,PL,3.3,PV,6.3,CL,60,+0,RL,44,SA,47,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,41,0,0,0,10,2,1,-,-,-,-,-,-,6
,48,S,90,A,41,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,14
,48,S,213,A,41,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,41,0,0,0,10,2,1,-,-,-,-,-,-,40
,48,L,49,A,41,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<23,B=40,C=#22
Tuesday,29-May-2018,00:11,SS,23M+,PL,7.3,PV,7.2,CL,65+13,RL,60,SA,130,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,49,24,8,6,30,8,6,6,2,1,-,-,-,32
,152,S,131,A,49,21,5,4,15,4,3,-,-,-,-,-,-,19
,152,S,132,C,19,40,3,2,63,2,5,29,2,2,-,-,-,58
