Strategic,Monitor,On,Sunday,03-June-2018,filename:CCITY_20180603

Sunday,03-June-2018,00:00,SS,6M+,PL,3.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,161,A,85,30,10,8,41,14,12,20,9,7,0,0,0,33
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,24,3,2,46,4,4,-,-,-,-,-,-,49
,183,L,7,AC,38,18,2,2,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Sunday,03-June-2018,00:07,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,36,14,11,0,0,0,29,12,10,0,0,0,32
,288,S,270,B,11,0,0,0,21,2,1,-,-,-,-,-,-,9
A=<74,B=#22
Sunday,03-June-2018,00:07,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,15,3,2,14,3,2,29,4,4,-,-,-,30
,354,S,31,B,15,17,2,1,0,0,0,14,2,1,-,-,-,22
,182,S,34,A,37,0,0,0,0,0,0,-,-,-,-,-,-,30
A=<53,B=47
Sunday,03-June-2018,00:08,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,136,DS,141
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,45,16,3,2,14,3,2,0,0,0,-,-,-,23
,354,S,31,B,19,0,0,0,33,2,3,13,2,1,-,-,-,27
,182,S,34,A,39,23,2,3,15,2,2,-,-,-,-,-,-,22
A=<53,B=47
Sunday,03-June-2018,00:09,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,64
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,39,64,7,7,17,3,2,24,5,4,0,0,0,42
,183,S,21,B,27,36,4,3,59,6,6,33,3,3,-,-,-,52
,184,S,161,A,75,48,13,11,37,10,10,25,9,8,0,0,0,41
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,36,4,3,59,6,6,-,-,-,-,-,-,52
,183,L,7,AC,39,64,7,7,-,-,-,-,-,-,-,-,-,180
A=<29,B=48,C=#20
Sunday,03-June-2018,00:09,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,61
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,80,30,11,9,6,2,1,29,11,10,0,0,0,30
,288,S,270,B,11,0,0,0,21,2,1,-,-,-,-,-,-,16
A=<77,B=#20
Sunday,03-June-2018,00:09,SS,85M+,PL,8.3,PV,8.4,CL,120,+0,RL,140,SA,310,DS,161
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,88,-,-,-,42,14,11,21,7,5,-,-,-,37
,196,S,310,A,51,57,6,8,40,4,6,168,5,24,-,-,-,161
,196,S,311,ABE,51,14,3,3,51,8,8,34,5,6,8,2,2,50
,196,S,312,D,43,66,7,8,46,6,6,83,14,14,17,2,2,91
,197,L,71,ABF,48,61,9,10,57,9,11,-,-,-,-,-,-,540
,197,L,72,ABF,48,46,9,7,30,5,4,-,-,-,-,-,-,340
A=<22,B=20,C=#25,D=20,E=17
Sunday,03-June-2018,00:09,SS,10,-,PL,2.2,PV,2.2,CL,60,-6,RL,60,SA,56,DS,81
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,41,44,6,6,38,5,5,36,6,4,-,-,-,31
,354,S,31,B,15,0,0,0,22,2,1,0,0,0,-,-,-,25
,182,S,34,A,39,23,2,3,15,2,2,-,-,-,-,-,-,18
A=<60,B=40
Sunday,03-June-2018,00:10,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,30,5,5,23,5,4,30,6,6,0,0,0,40
,183,S,21,B,27,0,0,0,38,5,4,13,2,1,-,-,-,47
,184,S,161,A,85,20,7,5,44,15,13,24,10,8,6,2,2,45
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,0,0,0,38,5,4,-,-,-,-,-,-,47
,183,L,7,AC,52,30,5,5,-,-,-,-,-,-,-,-,-,200
A=<29,B=48,C=#20
Sunday,03-June-2018,00:10,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,201,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,70,26,8,7,6,2,1,31,11,9,0,0,0,32
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,12
A=<72,B=#24
Sunday,03-June-2018,00:10,SS,10,-,PL,2.2,PV,4.2,CL,60,+0,RL,60,SA,56,DS,81
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,45,12,2,2,12,2,2,0,0,0,-,-,-,23
,354,S,31,B,25,19,2,2,22,3,2,32,3,3,-,-,-,29
,182,S,34,A,62,0,0,0,11,3,2,-,-,-,-,-,-,18
A=<60,B=40
Sunday,03-June-2018,00:11,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,162
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,74,-,-,-,27,7,6,8,2,2,-,-,-,33
,196,S,310,A,53,57,9,9,49,5,8,163,3,24,-,-,-,162
,196,S,311,ABE,53,12,3,3,60,10,10,63,10,11,37,6,7,58
,196,S,312,D,43,83,6,11,21,4,3,11,3,2,34,4,4,84
,197,L,71,ABF,40,46,8,6,33,6,5,-,-,-,-,-,-,440
,197,L,72,ABF,40,82,8,11,96,10,12,-,-,-,-,-,-,480
A=<22,B=20,C=#25,D=20,E=17
Sunday,03-June-2018,00:11,SS,10,-,PL,4.2,PV,4.2,CL,60,-4,RL,60,SA,30,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,30,16,2,2,16,2,2,17,2,2,-,-,-,21
