Strategic,Monitor,On,Wednesday,13-June-2018,filename:CCITY_20180613

Wednesday,13-June-2018,00:00,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,18
A=<72,B=#24
Wednesday,13-June-2018,00:06,SS,85M+,PL,8.3,PV,8.3,CL,104,+0,RL,108,SA,310,DS,97
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,21,9,6,5,2,1,-,-,-,20
,196,S,310,A,46,25,3,3,21,2,3,78,5,10,-,-,-,97
,196,S,311,ABE,46,0,0,0,24,5,4,21,4,3,29,5,5,29
,196,S,312,D,36,55,4,6,27,2,3,77,10,11,0,0,0,54
,197,L,71,ABF,39,14,3,2,12,3,2,-,-,-,-,-,-,280
,197,L,72,ABF,39,36,5,5,60,8,7,-,-,-,-,-,-,320
A=<19,B=20,C=#25,D=20,E=17
Wednesday,13-June-2018,00:06,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,46,5,2,1,0,0,0,9,4,1,-,-,-,12
,354,S,31,B,16,16,2,1,28,3,2,0,0,0,-,-,-,30
,182,S,34,A,47,10,2,1,34,6,6,-,-,-,-,-,-,21
A=<53,B=47
Wednesday,13-June-2018,00:07,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,75,16,6,4,16,6,4,0,0,0,-,-,-,14
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,15
,182,S,34,A,47,21,3,3,31,5,5,-,-,-,-,-,-,27
A=<53,B=47
Wednesday,13-June-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,21,4,3,34,6,6,22,4,4,0,0,0,27
,183,S,21,B,34,27,4,3,46,7,6,9,2,1,-,-,-,48
,184,S,161,A,65,20,5,4,40,9,9,21,7,5,0,0,0,34
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,27,4,3,46,7,6,-,-,-,-,-,-,48
,183,L,7,AC,52,21,4,3,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Wednesday,13-June-2018,00:08,SS,58M+,PL,2.3,PV,4.3,CL,86,+0,RL,70,SA,201,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,71,9,3,2,0,0,0,11,4,4,0,0,0,14
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,7
A=<74,B=#22
Wednesday,13-June-2018,00:08,SS,85M+,PL,6.3,PV,6.3,CL,105,+0,RL,105,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,105,-,-,-,22,10,7,7,3,2,-,-,-,22
,196,S,310,A,47,43,5,6,65,8,9,58,8,8,-,-,-,90
,196,S,311,ABE,47,18,3,3,42,6,7,19,3,3,20,4,3,32
,196,S,312,D,38,17,3,2,56,4,7,82,12,12,21,3,2,70
,197,L,71,ABF,38,36,6,5,41,7,6,-,-,-,-,-,-,300
,197,L,72,ABF,38,26,3,3,25,3,3,-,-,-,-,-,-,260
A=<16,B=20,C=#25,D=23,E=17
Wednesday,13-June-2018,00:08,SS,10,-,PL,4.2,PV,4.2,CL,60,-6,RL,60,SA,30,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,25,0,0,0,0,0,0,12,2,1,-,-,-,13
,354,S,31,B,19,40,3,3,14,2,1,0,0,0,-,-,-,24
,182,S,34,A,49,0,0,0,11,2,2,-,-,-,-,-,-,23
A=<47,B=53
Wednesday,13-June-2018,00:09,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,21,4,3,34,6,6,22,4,4,0,0,0,31
,183,S,21,B,23,10,2,1,31,4,3,0,0,0,-,-,-,36
,184,S,161,A,89,13,4,4,13,4,4,4,2,1,0,0,0,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,23,10,2,1,31,4,3,-,-,-,-,-,-,36
,183,L,7,AC,52,21,4,3,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Wednesday,13-June-2018,00:09,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,4,2,1,0,0,0,13,6,5,0,0,0,13
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Wednesday,13-June-2018,00:09,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,18,4,2,12,3,2,8,2,1,-,-,-,16
,354,S,31,B,14,18,2,1,0,0,0,0,0,0,-,-,-,21
,182,S,34,A,49,0,0,0,11,2,2,-,-,-,-,-,-,15
A=<47,B=53
Wednesday,13-June-2018,00:10,SS,85M+,PL,6.3,PV,8.3,CL,103,+0,RL,98,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,114,-,-,-,21,9,7,4,2,1,-,-,-,21
,196,S,310,A,42,70,3,8,36,3,4,47,5,6,-,-,-,70
,196,S,311,ABE,42,13,3,2,29,5,4,25,3,4,24,4,4,33
,196,S,312,D,25,28,2,2,20,2,2,20,2,2,0,0,0,57
,197,L,71,ABF,61,21,5,4,23,6,5,-,-,-,-,-,-,300
,197,L,72,ABF,61,25,5,5,17,4,3,-,-,-,-,-,-,280
A=<16,B=20,C=#25,D=23,E=17
Wednesday,13-June-2018,00:10,SS,10,-,PL,1.2,PV,1.2,CL,60,+6,RL,60,SA,30,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,14,4,3,13,4,3,6,2,1,-,-,-,15
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,15
,182,S,34,A,50,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<64,B=36
Wednesday,13-June-2018,00:11,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,41,19,3,2,0,0,0,0,0,0,0,0,0,27
,183,S,21,B,32,11,2,1,52,6,6,0,0,0,-,-,-,44
,184,S,161,A,84,17,5,5,19,6,5,0,0,0,0,0,0,22
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,32,11,2,1,52,6,6,-,-,-,-,-,-,44
,183,L,7,AC,41,19,3,2,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Wednesday,13-June-2018,00:11,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,77,12,4,4,0,0,0,13,5,5,0,0,0,13
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Wednesday,13-June-2018,00:12,SS,10,-,PL,1.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,28,27,4,2,28,4,3,0,0,0,-,-,-,21
,354,S,31,B,14,0,0,0,0,0,0,13,2,1,-,-,-,10
,182,S,34,A,45,11,2,2,40,6,6,-,-,-,-,-,-,20
A=<64,B=36
Wednesday,13-June-2018,00:12,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,93,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,85,-,-,-,25,7,6,5,2,1,-,-,-,23
,196,S,310,A,53,47,4,7,19,4,3,24,4,4,-,-,-,59
,196,S,311,ABE,53,0,0,0,25,6,4,7,2,1,0,0,0,30
,196,S,312,D,31,0,0,0,29,4,3,45,7,5,24,3,2,48
,197,L,71,ABF,46,13,3,2,10,2,2,-,-,-,-,-,-,240
,197,L,72,ABF,46,25,5,4,0,0,0,-,-,-,-,-,-,180
A=<14,B=20,C=#25,D=24,E=17
Wednesday,13-June-2018,00:12,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,15
