Strategic,Monitor,On,Wednesday,16-May-2018,filename:CCITY_20180516

Wednesday,16-May-2018,00:00,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,60,SA,51,DS,128
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,L,49,A,62,-,-,-,-,-,-,9,3,2,-,-,-,100
A=<33,B=30,C=#22
Wednesday,16-May-2018,00:06,SS,23M+,PL,2.3,PV,7.3,CL,60,+0,RL,60,SA,130,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,39,0,0,0,29,5,5,25,4,4,-,-,-,34
,152,S,131,A,39,0,0,0,0,0,0,-,-,-,-,-,-,28
,152,S,132,C,17,79,3,4,35,2,2,0,0,0,-,-,-,56
,193,L,57,ABCE,50,6,2,1,26,4,5,0,0,0,-,-,-,280
,193,L,58,AE,28,24,2,2,46,3,5,50,4,5,-,-,-,320
A=<71,B=1,C=29,D=1
Wednesday,16-May-2018,00:07,SS,3M+,PL,1.3,PV,0.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,85,8,3,3,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,13,10,2,1,0,0,0,24,2,1,-,-,-,29
,145,S,133,AB,73,0,0,0,16,4,4,-,-,-,-,-,-,17
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,0,0,0,16,4,4,-,-,-,-,-,-,17
,145,S,212,AC,85,8,3,3,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,73,0,0,0,16,4,4,-,-,-,-,-,-,240
A=<33,B=#23,C=40
Wednesday,16-May-2018,00:07,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,83,14,7,4,12,6,3,0,0,0,-,-,-,16
,354,S,31,B,26,20,3,2,16,3,2,11,2,1,-,-,-,9
,182,S,34,A,55,0,0,0,9,3,2,-,-,-,-,-,-,8
,2,L,14,AD,93,13,5,4,25,12,10,-,-,-,-,-,-,900
,2,L,15,AD,93,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,16-May-2018,00:07,SS,28M+,PL,7.3,PV,8.3,CL,60-11,RL,60,SA,90,DS,175
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,12,0,0,0,84,3,4,-,-,-,-,-,-,44
,48,S,90,A,12,-,-,-,-,-,-,175,2,8,-,-,-,82
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,6
,48,S,213,A,12,-,-,-,-,-,-,175,2,8,-,-,-,82
,48,L,23,A,12,0,0,0,84,3,4,-,-,-,-,-,-,180
,48,L,49,A,12,-,-,-,-,-,-,175,2,8,-,-,-,260
A=<33,B=30,C=#22
