Strategic,Monitor,On,Wednesday,18-April-2018,filename:CCITY_20180418

Wednesday,18-April-2018,00:00,SS,28M+,PL,7.3,PV,7.2,CL,60,+0,RL,60,SA,50,DS,138
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,212,AC,84,10,3,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,71,10,4,3,6,2,1,-,-,-,-,-,-,160
A=<54,B=#23,C=19
Wednesday,18-April-2018,00:10,SS,10M+,PL,1.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,76,11,5,3,9,4,2,0,0,0,-,-,-,11
,354,S,31,B,14,13,2,1,0,0,0,0,0,0,-,-,-,11
,182,S,34,A,87,6,2,1,12,4,4,-,-,-,-,-,-,5
,2,L,14,AD,51,7,2,1,30,8,7,-,-,-,-,-,-,560
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Wednesday,18-April-2018,00:11,SS,23M+,PL,1.3,PV,7.2,CL,60,+0,RL,60,SA,130,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,56,26,9,7,31,10,8,10,3,3,-,-,-,41
,152,S,131,A,56,10,3,2,9,2,2,-,-,-,-,-,-,13
,152,S,132,C,20,67,4,4,35,3,3,26,2,2,-,-,-,54
,193,L,57,ABCE,64,0,0,0,36,9,8,24,7,5,-,-,-,1300
,193,L,58,AE,42,9,2,1,19,4,3,10,2,1,-,-,-,360
A=<74,B=1,C=26,D=1
Wednesday,18-April-2018,00:11,SS,28M+,PL,6.2,PV,6.3,CL,71,+0,RL,64,SA,47,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,36,28,4,4,25,2,3,-,-,-,-,-,-,22
,48,S,90,A,36,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,S,91,BC,35,0,0,0,17,3,2,-,-,-,-,-,-,34
,48,S,213,A,36,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,L,23,A,36,28,4,4,25,2,3,-,-,-,-,-,-,280
,48,L,49,A,36,-,-,-,-,-,-,0,0,0,-,-,-,380
A=<37,B=32,C=#22
Wednesday,18-April-2018,00:11,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,69,SA,200,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,75,10,3,3,-,-,-,-,-,-,-,-,-,9
,145,S,10,C,13,24,2,1,0,0,0,0,0,0,-,-,-,15
,145,S,133,AB,63,19,7,5,6,2,1,-,-,-,-,-,-,14
,145,S,204,AB,63,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,63,19,7,5,6,2,1,-,-,-,-,-,-,14
,145,S,212,AC,75,10,3,3,-,-,-,-,-,-,-,-,-,9
,145,L,4,AB,63,19,7,5,6,2,1,-,-,-,-,-,-,180
A=<51,B=#23,C=22
Wednesday,18-April-2018,00:11,SS,10M+,PL,2.2,PV,2.2,CL,86,+0,RL,69,SA,15,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,12,5,3,10,4,2,7,3,2,-,-,-,10
,354,S,31,B,15,19,2,1,20,2,1,0,0,0,-,-,-,13
,182,S,34,A,42,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,45,32,5,5,53,11,11,-,-,-,-,-,-,1000
,2,L,15,AD,45,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
