Strategic,Monitor,On,Friday,04-May-2018,filename:CCITY_20180504

Friday,04-May-2018,00:00,SS,6M+,PL,5.3,PV,5.3,CL,93,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,64,12,4,3,10,3,2,9,3,2,-,-,-,15
,354,S,31,B,18,0,0,0,23,2,2,0,0,0,-,-,-,27
,182,S,34,A,16,0,0,0,12,3,1,-,-,-,-,-,-,10
,2,L,14,AD,51,24,4,4,34,7,8,-,-,-,-,-,-,1100
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,04-May-2018,00:13,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,14,6,5,7,3,2,19,8,6,0,0,0,22
,288,S,270,B,11,41,2,1,0,0,0,-,-,-,-,-,-,18
A=<67,B=#28
Friday,04-May-2018,00:13,SS,85M+,PL,8.3,PV,8.3,CL,102,+0,RL,98,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,103,-,-,-,10,5,3,6,3,2,-,-,-,19
,196,S,310,A,65,30,4,6,43,9,8,69,13,13,-,-,-,69
,196,S,311,ABE,65,6,2,2,31,6,6,27,6,6,22,6,6,37
,196,S,312,D,26,51,5,4,23,3,2,39,6,4,0,0,0,47
,197,L,71,ABF,76,28,10,8,28,11,8,-,-,-,-,-,-,480
,197,L,72,ABF,76,28,7,7,29,8,7,-,-,-,-,-,-,460
A=<18,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:14,SS,6M+,PL,8.3,PV,3.3,CL,86,+0,RL,86,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,8,2,1,33,7,6,26,5,6,6,2,1,30
,183,S,21,B,28,26,3,2,33,5,3,9,2,1,-,-,-,26
,184,S,161,A,85,10,4,3,29,10,9,20,8,7,5,2,1,29
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,26,3,2,33,5,3,-,-,-,-,-,-,25
,183,L,7,AC,58,8,2,1,-,-,-,-,-,-,-,-,-,40
A=<25,B=52,C=#20
Friday,04-May-2018,00:14,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,16,6,4,13,5,3,5,2,1,-,-,-,14
,354,S,31,B,19,25,4,2,12,2,1,0,0,0,-,-,-,27
,182,S,34,A,13,6,2,0,6,2,0,-,-,-,-,-,-,9
,2,L,14,AD,49,72,7,11,63,14,14,-,-,-,-,-,-,1860
,2,L,15,AD,49,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,04-May-2018,00:14,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,27,9,8,0,0,0,20,7,6,0,0,0,23
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,14
A=<70,B=#26
Friday,04-May-2018,00:15,SS,85M+,PL,8.3,PV,8.3,CL,100,-2,RL,94,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,85,-,-,-,7,3,2,4,2,1,-,-,-,13
,196,S,310,A,53,51,8,8,41,7,6,55,6,8,-,-,-,63
,196,S,311,ABE,53,0,0,0,56,10,9,55,10,10,0,0,0,44
,196,S,312,D,33,27,4,3,14,2,1,16,4,2,0,0,0,37
,197,L,71,ABF,47,27,6,5,31,8,6,-,-,-,-,-,-,400
,197,L,72,ABF,47,74,8,11,60,9,9,-,-,-,-,-,-,580
A=<18,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:16,SS,6M+,PL,8.3,PV,5.3,CL,86,+0,RL,86,SA,24,DS,137
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,13,3,2,22,5,4,23,4,5,7,2,1,27
,183,S,21,B,29,35,5,3,0,0,0,13,2,1,-,-,-,30
,184,S,161,A,85,15,5,4,22,7,7,16,7,5,6,2,2,27
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,35,5,3,0,0,0,-,-,-,-,-,-,30
,183,L,7,AC,58,13,3,2,-,-,-,-,-,-,-,-,-,60
A=<25,B=52,C=#20
Friday,04-May-2018,00:16,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,24,DS,137
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,18,7,4,14,6,3,5,2,1,-,-,-,16
,354,S,31,B,20,20,3,1,25,3,2,0,0,0,-,-,-,25
,182,S,34,A,31,6,2,1,10,2,1,-,-,-,-,-,-,9
,2,L,14,AD,33,11,2,1,0,0,0,-,-,-,-,-,-,1200
,2,L,15,AD,33,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,04-May-2018,00:16,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,200,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,17,7,5,0,0,0,18,7,6,0,0,0,21
,288,S,270,B,12,0,0,0,0,0,0,-,-,-,-,-,-,9
A=<63,B=#32
Friday,04-May-2018,00:16,SS,85M+,PL,6.3,PV,6.2,CL,100,+0,RL,91,SA,0,DS,0
