Strategic,Monitor,On,Tuesday,17-April-2018,filename:CCITY_20180417

Tuesday,17-April-2018,00:00,SS,85M+,PL,5.4,PV,6.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,197,L,71,ABF,33,96,10,12,86,12,13,-,-,-,-,-,-,600
,197,L,72,ABF,33,50,6,6,21,4,3,-,-,-,-,-,-,300
A=<18,B=20,C=#25,D=20,E=17
Tuesday,17-April-2018,00:09,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,28,5,5,25,6,5,0,0,0,0,0,0,23
,183,S,21,B,34,21,3,2,48,6,6,21,3,2,-,-,-,35
,184,S,161,A,74,19,6,5,20,6,5,11,4,3,35,2,8,27
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,4
,183,S,183,B,34,21,3,2,48,6,6,-,-,-,-,-,-,35
,183,L,7,AC,61,28,5,5,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:09,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,12,5,3,10,4,2,19,6,4,-,-,-,14
,354,S,31,B,16,12,2,1,0,0,0,21,2,1,-,-,-,22
,182,S,34,A,19,8,2,0,7,2,0,-,-,-,-,-,-,7
,2,L,14,AD,45,8,2,1,20,4,4,-,-,-,-,-,-,560
,2,L,15,AD,45,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,17-April-2018,00:09,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,113,15,7,6,6,2,2,9,4,4,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Tuesday,17-April-2018,00:10,SS,85M+,PL,6.3,PV,6.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,99,-,-,-,0,0,0,9,4,3,-,-,-,7
,196,S,310,A,49,0,0,0,49,7,7,41,5,6,-,-,-,64
,196,S,311,ABE,49,14,2,3,30,5,5,28,5,5,9,2,2,40
,196,S,312,D,36,44,5,5,23,2,3,67,8,9,31,3,3,59
,197,L,71,ABF,51,59,13,12,59,14,13,-,-,-,-,-,-,780
,197,L,72,ABF,51,23,4,4,18,4,4,-,-,-,-,-,-,280
A=<15,B=20,C=#25,D=23,E=17
Tuesday,17-April-2018,00:11,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,33,6,5,18,4,3,6,2,1,0,0,0,28
,183,S,21,B,34,14,2,2,50,5,6,25,2,3,-,-,-,43
,184,S,161,A,85,11,4,3,13,4,4,7,3,2,32,2,8,32
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,14,2,2,50,5,6,-,-,-,-,-,-,43
,183,L,7,AC,52,33,6,5,-,-,-,-,-,-,-,-,-,180
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:11,SS,10M+,PL,4.2,PV,4.3,CL,86,+0,RL,69,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,10,3,2,9,3,2,6,2,1,-,-,-,13
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,12
,182,S,34,A,74,0,0,0,5,2,1,-,-,-,-,-,-,5
,2,L,14,AD,25,0,0,0,11,2,1,-,-,-,-,-,-,300
,2,L,15,AD,25,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,17-April-2018,00:11,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,22,7,6,6,2,1,21,7,6,0,0,0,20
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Tuesday,17-April-2018,00:12,SS,85M+,PL,6.3,PV,7.4,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,99,-,-,-,0,0,0,9,4,3,-,-,-,9
,196,S,310,A,39,0,0,0,48,6,6,24,3,3,-,-,-,53
,196,S,311,ABE,39,0,0,0,29,4,4,18,3,3,17,3,2,36
,196,S,312,D,28,15,2,1,10,2,1,42,5,4,23,3,2,49
,197,L,71,ABF,48,33,7,6,36,9,8,-,-,-,-,-,-,720
,197,L,72,ABF,48,18,3,3,15,3,3,-,-,-,-,-,-,260
A=<15,B=20,C=#25,D=23,E=17
Tuesday,17-April-2018,00:12,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,28,6,4,20,4,3,7,2,1,7,2,1,30
,183,S,21,B,29,11,2,1,27,3,3,10,2,1,-,-,-,39
,184,S,161,A,85,18,7,5,21,7,6,11,4,4,7,2,2,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,11,2,1,27,3,3,-,-,-,-,-,-,39
,183,L,7,AC,52,28,6,4,-,-,-,-,-,-,-,-,-,180
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:12,SS,10M+,PL,2.2,PV,2.3,CL,86,+0,RL,69,SA,20,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,84,6,3,2,6,3,2,0,0,0,-,-,-,10
,354,S,31,B,14,10,2,1,10,2,1,0,0,0,-,-,-,9
,182,S,34,A,63,6,2,1,7,2,2,-,-,-,-,-,-,7
