Strategic,Monitor,On,Friday,13-April-2018,filename:CCITY_20180413

Friday,13-April-2018,00:00,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,2,L,15,AD,70,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,13-April-2018,00:09,SS,28M+,PL,8.3,PV,3.2,CL,84,+1,RL,67,SA,50,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,31,13,2,1,0,0,0,-,-,-,-,-,-,28
,48,S,90,A,31,-,-,-,-,-,-,0,0,0,-,-,-,51
,48,S,91,BC,35,0,0,0,15,3,2,-,-,-,-,-,-,19
,48,S,213,A,31,-,-,-,-,-,-,0,0,0,-,-,-,51
,48,L,23,A,31,13,2,1,0,0,0,-,-,-,-,-,-,220
,48,L,49,A,31,-,-,-,-,-,-,0,0,0,-,-,-,740
A=<46,B=28,C=#22
Friday,13-April-2018,00:09,SS,23M+,PL,2.2,PV,2.3,CL,118+12,RL,101,SA,130,DS,53
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,70,40,16,13,53,14,16,37,12,12,-,-,-,39
,152,S,131,A,70,29,8,7,12,4,3,-,-,-,-,-,-,25
,152,S,132,C,23,22,4,2,20,3,2,5,2,0,-,-,-,59
,193,L,57,ABCE,42,0,0,0,22,4,3,28,5,4,-,-,-,380
,193,L,58,AE,42,20,4,3,27,5,4,0,0,0,-,-,-,420
A=<71,B=1,C=29,D=1
Friday,13-April-2018,00:10,SS,3M+,PL,1.3,PV,0.3,CL,87,+0,RL,69,SA,201,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,71,20,5,5,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,17,25,3,2,10,2,1,0,0,0,-,-,-,30
,145,S,133,AB,55,6,2,1,7,2,1,-,-,-,-,-,-,11
,145,S,204,AB,55,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,55,6,2,1,7,2,1,-,-,-,-,-,-,11
,145,S,212,AC,71,20,5,5,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,55,6,2,1,7,2,1,-,-,-,-,-,-,160
A=<34,B=#23,C=40
Friday,13-April-2018,00:10,SS,10M+,PL,3.2,PV,3.2,CL,87,+0,RL,69,SA,20,DS,46
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,14,5,3,10,4,2,8,3,2,-,-,-,14
,354,S,31,B,18,21,3,1,15,3,1,0,0,0,-,-,-,27
,182,S,34,A,22,0,0,0,24,6,2,-,-,-,-,-,-,23
,2,L,14,AD,38,10,2,1,22,5,4,-,-,-,-,-,-,1500
,2,L,15,AD,38,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,13-April-2018,00:10,SS,28M+,PL,8.3,PV,8.2,CL,84,+0,RL,84,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,55,0,0,0,19,5,4,-,-,-,-,-,-,18
,48,S,90,A,55,-,-,-,-,-,-,154,3,37,-,-,-,103
,48,S,91,BC,26,34,6,3,21,3,2,-,-,-,-,-,-,28
,48,S,213,A,55,-,-,-,-,-,-,154,3,37,-,-,-,103
,48,L,23,A,55,0,0,0,19,5,4,-,-,-,-,-,-,180
,48,L,49,A,55,-,-,-,-,-,-,154,3,37,-,-,-,1200
A=<46,B=28,C=#22
Friday,13-April-2018,00:11,SS,23M+,PL,2.3,PV,1.3,CL,118,+5,RL,100,SA,130,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,91,36,19,16,40,19,16,19,8,8,-,-,-,42
,152,S,131,A,91,21,6,6,14,6,5,-,-,-,-,-,-,24
,152,S,132,C,26,23,3,2,12,2,1,21,3,2,-,-,-,29
,193,L,57,ABCE,42,0,0,0,22,4,3,28,5,4,-,-,-,280
,193,L,58,AE,42,20,4,3,27,5,4,0,0,0,-,-,-,280
A=<71,B=1,C=29,D=1
Friday,13-April-2018,00:11,SS,3M+,PL,5.3,PV,5.3,CL,93,+2,RL,69,SA,201,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,84,18,6,6,-,-,-,-,-,-,-,-,-,15
,145,S,10,C,17,13,2,1,8,2,1,0,0,0,-,-,-,20
,145,S,133,AB,68,8,3,2,10,3,2,-,-,-,-,-,-,10
,145,S,204,AB,68,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,68,8,3,2,10,3,2,-,-,-,-,-,-,10
,145,S,212,AC,84,18,6,6,-,-,-,-,-,-,-,-,-,15
,145,L,4,AB,68,8,3,2,10,3,2,-,-,-,-,-,-,160
A=<46,B=#23,C=29
Friday,13-April-2018,00:11,SS,10M+,PL,4.2,PV,4.2,CL,93,+0,RL,69,SA,52,DS,83
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,22,7,5,17,5,4,11,4,2,-,-,-,18
,354,S,31,B,22,31,4,2,31,4,3,12,2,1,-,-,-,25
,182,S,34,A,29,5,2,0,12,4,1,-,-,-,-,-,-,17
,2,L,14,AD,58,25,6,5,28,9,7,-,-,-,-,-,-,1360
,2,L,15,AD,58,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,13-April-2018,00:12,SS,28M+,PL,8.2,PV,8.2,CL,86-22,RL,92,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,63,0,0,0,12,2,3,-,-,-,-,-,-,15
,48,S,90,A,63,-,-,-,-,-,-,154,3,43,-,-,-,120
,48,S,91,BC,14,6,2,0,24,4,1,-,-,-,-,-,-,25
,48,S,213,A,63,-,-,-,-,-,-,154,3,43,-,-,-,120
,48,L,23,A,63,0,0,0,12,2,3,-,-,-,-,-,-,120
,48,L,49,A,63,-,-,-,-,-,-,154,3,43,-,-,-,1340
A=<46,B=28,C=#22
Friday,13-April-2018,00:13,SS,3M+,PL,1.3,PV,1.3,CL,95,+0,RL,72,SA,201,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,83,7,2,2,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,14,18,2,1,18,2,1,0,0,0,-,-,-,18
,145,S,133,AB,70,0,0,0,13,4,3,-,-,-,-,-,-,11
,145,S,204,AB,70,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,70,0,0,0,13,4,3,-,-,-,-,-,-,11
,145,S,212,AC,83,7,2,2,-,-,-,-,-,-,-,-,-,13
