Strategic,Monitor,On,Sunday,29-April-2018,filename:CCITY_20180429

Sunday,29-April-2018,00:00,SS,23M+,PL,4.4,PV,3.3,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,204,AB,83,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,83,15,5,6,15,5,4,-,-,-,-,-,-,16
,145,S,212,AC,95,7,3,2,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,83,15,5,6,15,5,4,-,-,-,-,-,-,340
A=<37,B=#23,C=41
Sunday,29-April-2018,00:09,SS,10M+,PL,4.2,PV,4.2,CL,104,+0,RL,85,SA,17,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,87,22,10,6,14,7,4,14,6,4,-,-,-,25
,354,S,31,B,23,19,3,2,30,4,3,18,3,2,-,-,-,25
,182,S,34,A,84,0,0,0,15,5,4,-,-,-,-,-,-,16
,2,L,14,AD,69,49,13,11,54,17,16,-,-,-,-,-,-,1660
,2,L,15,AD,69,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,29-April-2018,00:10,SS,23M+,PL,7.3,PV,7.3,CL,120,+0,RL,101,SA,310,DS,163
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,96,36,20,16,40,18,17,39,19,17,-,-,-,49
,152,S,131,A,96,24,7,8,20,8,7,-,-,-,-,-,-,23
,152,S,132,C,33,61,4,6,22,4,3,8,2,1,-,-,-,59
,193,L,57,ABCE,65,6,3,2,19,5,4,92,2,20,-,-,-,520
,193,L,58,AE,43,38,6,5,41,8,7,32,6,5,-,-,-,480
A=<61,B=1,C=39,D=1
Sunday,29-April-2018,00:11,SS,28M+,PL,3.2,PV,3.3,CL,111,+0,RL,93,SA,51,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,43,0,0,0,30,5,5,-,-,-,-,-,-,34
,48,S,90,A,43,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,37,52,3,7,37,5,5,-,-,-,-,-,-,56
,48,S,213,A,43,-,-,-,-,-,-,0,0,0,-,-,-,0
