Strategic,Monitor,On,Saturday,09-June-2018,filename:CCITY_20180609

Saturday,09-June-2018,00:00,SS,10M-,PL,3.2,PV,2.2,CL,87,+0,RL,70,SA,56,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,21,B,26,49,6,4,76,9,7,36,5,3,-,-,-,50
,184,S,161,A,91,26,9,8,39,13,12,22,9,8,0,0,0,40
,184,S,162,B,27,0,0,0,19,2,2,-,-,-,-,-,-,9
,183,S,183,B,26,49,6,4,76,9,7,-,-,-,-,-,-,50
,183,L,7,AC,38,61,8,7,-,-,-,-,-,-,-,-,-,240
A=<25,B=52,C=#20
Saturday,09-June-2018,00:13,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,71,SA,200,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,89,18,8,6,0,0,0,8,4,3,0,0,0,24
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Saturday,09-June-2018,00:14,SS,10M-,PL,4.2,PV,4.2,CL,102-19,RL,80,SA,30,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,49,13,11,43,13,10,30,10,7,-,-,-,50
,354,S,31,B,25,9,2,1,42,6,4,10,2,1,-,-,-,40
,182,S,34,A,37,0,0,0,0,0,0,-,-,-,-,-,-,8
A=<47,B=53
Saturday,09-June-2018,00:15,SS,6M+,PL,8.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,61
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,61,8,7,10,2,1,20,4,3,0,0,0,57
,183,S,21,B,26,49,6,4,76,9,7,36,5,3,-,-,-,66
,184,S,161,A,55,13,3,2,37,7,7,16,4,3,0,0,0,35
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,6
,183,S,183,B,26,49,6,4,76,9,7,-,-,-,-,-,-,66
,183,L,7,AC,38,61,8,7,-,-,-,-,-,-,-,-,-,260
A=<25,B=52,C=#20
Saturday,09-June-2018,00:15,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,70,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,73,18,6,5,0,0,0,18,6,6,0,0,0,22
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Saturday,09-June-2018,00:15,SS,85M+,PL,8.3,PV,8.3,CL,117,+0,RL,118,SA,310,DS,113
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,73,-,-,-,57,14,11,28,7,5,-,-,-,66
,196,S,310,A,43,81,6,10,63,7,8,151,8,18,-,-,-,113
,196,S,311,ABE,43,0,0,0,55,8,8,32,6,5,27,5,4,59
,196,S,312,D,40,78,7,10,39,5,5,52,9,8,29,4,3,79
,197,L,71,ABF,41,50,8,7,48,8,8,-,-,-,-,-,-,480
,197,L,72,ABF,41,44,6,6,49,6,6,-,-,-,-,-,-,320
A=<22,B=20,C=#25,D=20,E=17
Saturday,09-June-2018,00:16,SS,10M-,PL,3.2,PV,3.2,CL,102,+0,RL,83,SA,60,DS,148
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,57,19,4,3,13,4,2,0,0,0,-,-,-,39
,354,S,31,B,16,10,2,1,21,3,1,0,0,0,-,-,-,29
,182,S,34,A,94,5,2,1,18,7,6,-,-,-,-,-,-,11
A=<53,B=47
Saturday,09-June-2018,00:16,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,20,3,2,10,2,1,23,4,3,0,0,0,44
,183,S,21,B,32,31,5,3,88,9,10,59,7,6,-,-,-,81
,184,S,161,A,85,14,5,4,28,9,8,25,10,8,12,4,3,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,4
,183,S,183,B,32,31,5,3,88,9,10,-,-,-,-,-,-,81
,183,L,7,AC,38,20,3,2,-,-,-,-,-,-,-,-,-,200
A=<27,B=50,C=#20
Saturday,09-June-2018,00:16,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,40,15,13,11,4,3,36,15,13,0,0,0,28
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Saturday,09-June-2018,00:17,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,128,SA,313,DS,151
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,113,-,-,-,40,14,12,13,6,4,-,-,-,53
,196,S,310,A,50,80,10,12,52,7,7,158,5,23,-,-,-,139
,196,S,311,ABE,50,13,2,3,57,9,9,33,7,6,36,7,6,57
,196,S,312,D,42,44,5,6,34,5,5,92,12,15,15,3,2,85
,197,L,71,ABF,39,79,11,11,88,3,13,-,-,-,-,-,-,600
,197,L,72,ABF,39,85,6,11,80,5,10,-,-,-,-,-,-,440
