Strategic,Monitor,On,Thursday,10-May-2018,filename:CCITY_20180510

Thursday,10-May-2018,00:00,SS,23M+,PL,3.3,PV,3.4,CL,75,-6,RL,75,SA,131,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,90,A,59,-,-,-,-,-,-,0,0,0,-,-,-,56
,48,S,91,BC,42,61,4,9,9,2,1,-,-,-,-,-,-,44
,48,S,213,A,59,-,-,-,-,-,-,0,0,0,-,-,-,56
,48,L,23,A,59,15,3,3,12,3,2,-,-,-,-,-,-,200
,48,L,49,A,59,-,-,-,-,-,-,0,0,0,-,-,-,560
A=<32,B=44,C=#22
Thursday,10-May-2018,00:06,SS,3M+,PL,1.3,PV,18.3,CL,105,+3,RL,76,SA,201,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,107,12,4,5,-,-,-,-,-,-,-,-,-,12
,145,S,10,C,17,21,2,1,10,2,1,0,0,0,-,-,-,29
,145,S,133,AB,91,5,3,2,9,3,3,-,-,-,-,-,-,11
,145,S,204,AB,91,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,91,5,3,2,9,3,3,-,-,-,-,-,-,11
,145,S,212,AC,107,12,4,5,-,-,-,-,-,-,-,-,-,12
,145,L,4,AB,91,5,3,2,9,3,3,-,-,-,-,-,-,220
A=<37,B=#23,C=41
Thursday,10-May-2018,00:06,SS,10M+,PL,3.2,PV,3.2,CL,105,+2,RL,76,SA,20,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,77,9,4,2,8,4,2,7,3,2,-,-,-,16
,354,S,31,B,20,8,2,1,11,2,1,13,2,1,-,-,-,19
,182,S,34,A,21,15,2,1,28,4,2,-,-,-,-,-,-,17
,2,L,14,AD,76,31,7,8,28,8,9,-,-,-,-,-,-,960
,2,L,15,AD,76,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,10-May-2018,00:07,SS,23M+,PL,2.4,PV,4.2,CL,100-15,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,28,65,9,9,72,9,9,45,5,6,-,-,-,61
,152,S,131,A,28,0,0,0,24,3,2,-,-,-,-,-,-,19
,152,S,132,C,16,77,2,4,22,2,1,28,2,2,-,-,-,62
,193,L,57,ABCE,38,12,2,2,21,3,3,56,5,7,-,-,-,980
,193,L,58,AE,16,0,0,0,47,2,3,43,2,3,-,-,-,420
A=<71,B=1,C=29,D=1
Thursday,10-May-2018,00:08,SS,28M+,PL,2.2,PV,8.3,CL,86,+2,RL,86,SA,47,DS,69
