Strategic,Monitor,On,Thursday,21-June-2018,filename:CCITY_20180621

Thursday,21-June-2018,00:00,SS,28M+,PL,8.2,PV,8.2,CL,72-17,RL,62,SA,50,DS,141
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Thursday,21-June-2018,00:10,SS,28M+,PL,4.2,PV,8.2,CL,69,+0,RL,73,SA,90,DS,124
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,31,19,2,2,46,4,5,-,-,-,-,-,-,44
,48,S,90,A,31,-,-,-,-,-,-,124,10,16,-,-,-,99
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,22
,48,S,213,A,31,-,-,-,-,-,-,124,10,16,-,-,-,99
,48,L,23,A,31,19,2,2,46,4,5,-,-,-,-,-,-,380
,48,L,49,A,31,-,-,-,-,-,-,124,10,16,-,-,-,760
A=<32,B=36,C=#22
Thursday,21-June-2018,00:11,SS,23M+,PL,3.2,PV,3.3,CL,60,+0,RL,60,SA,130,DS,58
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,34,49,9,8,58,9,9,13,3,2,-,-,-,44
,152,S,131,A,34,19,3,2,9,2,1,-,-,-,-,-,-,24
,152,S,132,C,18,38,3,2,0,0,0,0,0,0,-,-,-,49
,193,L,57,ABCE,52,0,0,0,13,3,2,0,0,0,-,-,-,340
,193,L,58,AE,31,13,2,1,0,0,0,22,3,2,-,-,-,280
A=<68,B=1,C=32,D=1
Thursday,21-June-2018,00:11,SS,10,-,PL,3.2,PV,3.2,CL,83,+0,RL,69,SA,30,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,10,4,2,8,3,2,13,3,2,-,-,-,12
,354,S,31,B,18,17,3,1,15,3,1,0,0,0,-,-,-,19
,182,S,34,A,50,16,3,3,9,2,2,-,-,-,-,-,-,16
A=<53,B=47
Thursday,21-June-2018,00:11,SS,3M+,PL,3.3,PV,0.3,CL,86,+0,RL,69,SA,201,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,81,11,4,3,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,14,13,2,1,0,0,0,0,0,0,-,-,-,17
,145,S,133,AB,68,9,4,3,6,2,1,-,-,-,-,-,-,12
,145,S,204,AB,68,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,68,9,4,3,6,2,1,-,-,-,-,-,-,12
,145,S,212,AC,81,11,4,3,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,68,9,4,3,6,2,1,-,-,-,-,-,-,200
A=<39,B=#23,C=34
Thursday,21-June-2018,00:11,SS,10,-,PL,3.2,PV,3.2,CL,69,+0,RL,67,SA,30,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,10,4,2,8,3,2,13,3,2,-,-,-,12
,354,S,31,B,18,17,3,1,15,3,1,0,0,0,-,-,-,19
,182,S,34,A,50,16,3,3,9,2,2,-,-,-,-,-,-,15
A=<53,B=47
Thursday,21-June-2018,00:11,SS,28M+,PL,8.2,PV,8.2,CL,68,+0,RL,63,SA,47,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,57,0,0,0,14,4,3,-,-,-,-,-,-,30
,48,S,90,A,57,-,-,-,-,-,-,31,7,7,-,-,-,62
,48,S,91,BC,16,14,2,1,14,2,1,-,-,-,-,-,-,21
,48,S,213,A,57,-,-,-,-,-,-,31,7,7,-,-,-,62
,48,L,23,A,57,0,0,0,14,4,3,-,-,-,-,-,-,260
,48,L,49,A,57,-,-,-,-,-,-,31,7,7,-,-,-,520
A=<40,B=28,C=#22
Thursday,21-June-2018,00:12,SS,23M+,PL,3.2,PV,6.3,CL,60,+6,RL,60,SA,131,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,42,11,3,2,7,2,1,14,3,3,-,-,-,33
,152,S,131,A,42,27,5,4,8,2,1,-,-,-,-,-,-,25
,152,S,132,C,16,0,0,0,14,2,1,0,0,0,-,-,-,32
,193,L,57,ABCE,52,0,0,0,13,3,2,0,0,0,-,-,-,160
,193,L,58,AE,31,13,2,1,0,0,0,22,3,2,-,-,-,160
A=<68,B=1,C=32,D=1
Thursday,21-June-2018,00:13,SS,10,-,PL,4.2,PV,4.2,CL,67,-6,RL,61,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,10,4,2,11,4,2,10,4,2,-,-,-,12
,354,S,31,B,13,0,0,0,0,0,0,11,2,1,-,-,-,14
,182,S,34,A,47,0,0,0,9,2,1,-,-,-,-,-,-,13
A=<47,B=53
Thursday,21-June-2018,00:13,SS,28M+,PL,8.2,PV,8.2,CL,65,+0,RL,62,SA,47,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,56,9,2,2,21,5,4,-,-,-,-,-,-,24
,48,S,90,A,56,-,-,-,-,-,-,85,5,20,-,-,-,76
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,48,S,213,A,56,-,-,-,-,-,-,85,5,20,-,-,-,76
,48,L,23,A,56,9,2,2,21,5,4,-,-,-,-,-,-,260
,48,L,49,A,56,-,-,-,-,-,-,85,5,20,-,-,-,780
A=<38,B=28,C=#22
Thursday,21-June-2018,00:13,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,92,12,4,4,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,16,0,0,0,31,3,2,18,2,1,-,-,-,22
