Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
,196,S,311,ABE,40,0,0,0,30,4,4,32,4,4,24,4,3,57,1,19:10:00,1,1,1,12,12,4,86,21.5
,196,S,312,D,46,8,2,1,76,11,11,83,11,15,59,8,8,84,1,19:10:00,1,1,1,32,32,4,226,56.5
,197,L,71,ABF,56,68,10,13,76,13,17,-,-,- ,-,-,- ,740,1,19:10:00,1,0,0,23,0,2,0,0
,197,L,72,ABF,56,69,5,13,59,4,10,-,-,- ,-,-,- ,580,1,19:10:00,1,0,0,9,0,2,0,0
A=<18 ,B=20,C=#25,D=24,E=17,,,,,,,,,,,,,,,1,19:10:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:10,SS,58,-,PL,4.3,PV,4.3,CL,120,0,RL,100,SA,200,DS,53,0,19:10:00,0,0,0,204.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:10:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,66,25,25,21,7,6,42,19,17,0,0,0,64,1,19:10:00,1,1,1,51,51,4,129,32.25
,288,S,270,B,21,67,5,5,82,5,6,-,-,- ,-,-,- ,67,1,19:10:00,1,1,1,10,10,2,149,74.5
A=<73 ,B=#32,,,,,,,,,,,,,,,,,,1,19:10:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:10,SS,6M+,PL,2.2#,PV,2.3,CL,97,0,RL,97,SA,20,DS,72,,0,19:10:00,0,0,0,194,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:10:00,0,0,0,0,0,0,0,0
,183,S,20,AC,60,72,7,12,49,10,9,72,15,17,9,2,2,82,1,19:10:00,1,1,1,34,34,4,202,50.5
,183,S,21,B,28,9,2,1,26,4,3,0,0,0,-,-,- ,34,1,19:10:00,1,1,1,6,6,3,35,11.6666666666667
,184,S,161,A,72,55,12,12,92,22,22,79,23,23,15,3,3,93,1,19:10:00,1,0,0,60,0,4,0,0
,184,S,162,B,27,0,0,0,0,0,0,-,-,- ,-,-,- ,18,1,19:10:00,1,0,0,0,0,2,0,0
,183,S,183,B,28,9,2,1,26,4,3,-,-,- ,-,-,- ,34,1,19:10:00,1,1,0,6,0,2,0,0
,183,L,7,AC,60,72,7,12,-,-,- ,-,-,- ,-,-,- ,520,1,19:10:00,1,1,0,7,0,1,0,0
A=<39 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:10:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:11,SS,10,-,PL,4#2#,PV,4.2,CL,120,4,RL,103,SA,30,DS,64,0,19:11:00,0,0,0,30,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:11:00,0,0,0,0,0,0,0,0
,354,S,30,A,38,64,8,8,63,8,8,33,4,4,-,-,- ,66,1,19:11:00,1,1,1,20,20,3,160,53.3333333333333
,354,S,31,B,86,21,8,7,18,6,6,4,2,1,-,-,- ,32,1,19:11:00,1,1,1,16,16,3,43,14.3333333333333
,182,S,34,A,47,34,5,5,54,7,9,-,-,- ,-,-,- ,37,1,19:11:00,1,0,0,12,0,2,0,0
A=42,B=<58 ,,,,,,,,,,,,,,,,,,1,19:11:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:12,SS,85M+,PL,6.2#,PV,6.4,CL,120,0,RL,140,SA,313,DS,150,,0,19:12:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:12:00,0,0,0,0,0,0,0,0
,908,S,287,AC,79,-,-,- ,141,9,32,22,5,4,-,-,- ,131,1,19:12:00,1,0,0,14,0,2,0,0
,196,S,310,A,55,112,11,17,79,11,13,163,4,25,-,-,- ,162,1,19:12:00,1,1,1,26,26,3,354,118
,196,S,311,ABE,55,0,0,0,34,3,6,25,5,5,17,4,3,46,1,19:12:00,1,1,1,12,12,4,76,19
,196,S,312,D,48,62,7,9,64,10,10,78,13,14,27,4,4,83,1,19:12:00,1,1,1,34,34,4,231,57.75
,197,L,71,ABF,41,91,5,13,96,6,15,-,-,- ,-,-,- ,800,1,19:12:00,1,0,0,11,0,2,0,0
,197,L,72,ABF,41,46,5,6,36,3,5,-,-,- ,-,-,- ,480,1,19:12:00,1,0,0,8,0,2,0,0
A=<19 ,B=20,C=#25,D=23,E=17,,,,,,,,,,,,,,,1,19:12:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:12,SS,58,-,PL,4.3,PV,4.3,CL,118,0,RL,101,SA,201,DS,40,0,19:12:00,0,0,0,205.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:12:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,36,13,13,14,4,4,39,16,16,0,0,0,53,1,19:12:00,1,1,1,33,33,4,89,22.25
,288,S,270,B,21,59,4,4,0,0,0,-,-,- ,-,-,- ,71,1,19:12:00,1,1,1,4,4,2,59,29.5
A=<73 ,B=#32,,,,,,,,,,,,,,,,,,1,19:12:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:12,SS,6M+,PL,2.2#,PV,3.3,CL,99,0,RL,89,SA,88,DS,125,,0,19:12:00,0,0,0,188,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:12:00,0,0,0,0,0,0,0,0
,183,S,20,AC,75,51,5,11,57,14,14,29,7,9,12,2,3,69,1,19:12:00,1,1,1,28,28,4,149,37.25
,183,S,21,B,32,49,6,5,44,5,5,29,4,3,-,-,- ,39,1,19:12:00,1,1,1,15,15,3,122,40.6666666666667
,184,S,161,A,74,47,9,11,83,20,21,57,18,17,6,2,1,89,1,19:12:00,1,0,0,49,0,4,0,0
,184,S,162,B,54,0,0,0,8,2,2,-,-,- ,-,-,- ,16,1,19:12:00,1,0,0,2,0,2,0,0
,183,S,183,B,32,49,6,5,44,5,5,-,-,- ,-,-,- ,39,1,19:12:00,1,1,0,11,0,2,0,0
,183,L,7,AC,75,51,5,11,-,-,- ,-,-,- ,-,-,- ,440,1,19:12:00,1,1,0,5,0,1,0,0
A=<40 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:12:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:13,SS,10,-,PL,4#2#,PV,4.2,CL,120,0,RL,103,SA,30,DS,73,0,19:13:00,0,0,0,30,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:13:00,0,0,0,0,0,0,0,0
,354,S,30,A,43,73,6,10,60,7,9,41,6,5,-,-,- ,68,1,19:13:00,1,1,1,19,19,3,174,58
,354,S,31,B,83,31,10,9,34,10,11,0,0,0,-,-,- ,30,1,19:13:00,1,1,1,20,20,3,65,21.6666666666667
,182,S,34,A,50,9,2,1,73,14,13,-,-,- ,-,-,- ,57,1,19:13:00,1,0,0,16,0,2,0,0
A=42,B=<58 ,,,,,,,,,,,,,,,,,,1,19:13:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:14,SS,85M+,PL,6.2#,PV,6.4,CL,120,0,RL,140,SA,313,DS,145,,0,19:14:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:14:00,0,0,0,0,0,0,0,0
,908,S,287,AC,72,-,-,- ,64,14,13,13,4,2,-,-,- ,105,1,19:14:00,1,0,0,18,0,2,0,0
,196,S,310,A,46,99,9,13,87,7,12,163,3,21,-,-,- ,162,1,19:14:00,1,1,1,19,19,3,349,116.333333333333
,196,S,311,ABE,46,0,0,0,53,6,8,46,6,7,9,2,1,42,1,19:14:00,1,1,1,14,14,4,108,27
,196,S,312,D,42,48,4,6,64,7,9,74,11,12,27,4,3,77,1,19:14:00,1,1,1,26,26,4,213,53.25
,197,L,71,ABF,41,95,12,13,77,10,12,-,-,- ,-,-,- ,800,1,19:14:00,1,0,0,22,0,2,0,0
,197,L,72,ABF,41,48,4,6,82,6,11,-,-,- ,-,-,- ,480,1,19:14:00,1,0,0,10,0,2,0,0
A=<19 ,B=20,C=#25,D=23,E=17,,,,,,,,,,,,,,,1,19:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:14,SS,6M+,PL,2.2#,PV,2.3,CL,100,0,RL,99,SA,88,DS,140,,0,19:14:00,0,0,0,199,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:14:00,0,0,0,0,0,0,0,0
,183,S,20,AC,68,141,11,28,71,11,15,84,13,22,27,8,7,98,1,19:14:00,1,1,1,43,43,4,323,80.75
,183,S,21,B,30,18,2,2,29,2,3,24,2,2,-,-,- ,35,1,19:14:00,1,1,1,6,6,3,71,23.6666666666667
,184,S,161,A,46,112,13,16,102,13,16,89,11,17,73,11,11,98,1,19:14:00,1,0,0,48,0,4,0,0
,184,S,162,B,11,0,0,0,0,0,0,-,-,- ,-,-,- ,3,1,19:14:00,1,0,0,0,0,2,0,0
,183,S,183,B,30,18,2,2,29,2,3,-,-,- ,-,-,- ,35,1,19:14:00,1,1,0,4,0,2,0,0
,183,L,7,AC,68,141,11,28,-,-,- ,-,-,- ,-,-,- ,680,1,19:14:00,1,1,0,11,0,1,0,0
A=<40 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:14,SS,58,-,PL,4.3,PV,4.3,CL,120,0,RL,103,SA,200,DS,45,0,19:14:00,0,0,0,204.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:14:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,85,31,32,52,11,16,49,19,20,0,0,0,66,1,19:14:00,1,1,1,61,61,4,186,46.5
,288,S,270,B,24,61,6,5,67,3,5,-,-,- ,-,-,- ,68,1,19:14:00,1,1,1,9,9,2,128,64
A=<75 ,B=#30,,,,,,,,,,,,,,,,,,1,19:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:15,SS,10,-,PL,4#2#,PV,4.2,CL,120-10,RL,103,SA,30,DS,67,,0,19:15:00,0,0,0,103,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:15:00,0,0,0,0,0,0,0,0
,354,S,30,A,41,66,9,9,67,11,9,47,6,6,-,-,- ,68,1,19:15:00,1,1,1,26,26,3,180,60
,354,S,31,B,84,14,5,4,45,16,15,6,2,2,-,-,- ,36,1,19:15:00,1,1,1,23,23,3,65,21.6666666666667
,182,S,34,A,46,16,3,2,55,10,9,-,-,- ,-,-,- ,61,1,19:15:00,1,0,0,13,0,2,0,0
A=42,B=<58 ,,,,,,,,,,,,,,,,,,1,19:15:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:15,SS,6M+,PL,2.2#,PV,2.3,CL,103,0,RL,108,SA,20,DS,141,,0,19:15:00,0,0,0,211,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:15:00,0,0,0,0,0,0,0,0
,183,S,20,AC,68,141,11,28,71,11,15,84,13,22,27,8,7,123,1,19:15:00,1,1,1,43,43,4,323,80.75
,183,S,21,B,33,61,8,7,71,9,8,47,6,5,-,-,- ,52,1,19:15:00,1,1,1,23,23,3,179,59.6666666666667
,184,S,161,A,46,112,13,16,102,13,16,89,11,17,73,11,11,106,1,19:15:00,1,0,0,48,0,4,0,0
,184,S,162,B,11,0,0,0,0,0,0,-,-,- ,-,-,- ,2,1,19:15:00,1,0,0,0,0,2,0,0
,183,S,183,B,33,61,8,7,71,9,8,-,-,- ,-,-,- ,52,1,19:15:00,1,1,0,17,0,2,0,0
,183,L,7,AC,68,141,11,28,-,-,- ,-,-,- ,-,-,- ,860,1,19:15:00,1,1,0,11,0,1,0,0
A=<41 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:15:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:16,SS,85M+,PL,6.2#,PV,6.4,CL,120,0,RL,140,SA,310,DS,160,,0,19:16:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:16:00,0,0,0,0,0,0,0,0
,908,S,287,AC,76,-,-,- ,75,11,17,6,2,1,-,-,- ,86,1,19:16:00,1,0,0,13,0,2,0,0
,196,S,310,A,55,55,6,8,83,11,14,157,8,24,-,-,- ,160,1,19:16:00,1,1,1,25,25,3,295,98.3333333333333
,196,S,311,ABE,55,15,2,3,38,5,7,52,8,9,24,5,5,48,1,19:16:00,1,1,1,20,20,4,129,32.25
,196,S,312,D,47,0,0,0,57,9,9,94,7,17,25,4,3,84,1,19:16:00,1,1,1,20,20,4,176,44
,197,L,71,ABF,44,73,12,11,65,12,11,-,-,- ,-,-,- ,720,1,19:16:00,1,0,0,24,0,2,0,0
,197,L,72,ABF,44,39,4,6,46,7,6,-,-,- ,-,-,- ,400,1,19:16:00,1,0,0,11,0,2,0,0
A=<19 ,B=20,C=#25,D=23,E=17,,,,,,,,,,,,,,,1,19:16:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:16,SS,58,-,PL,3.3,PV,3.3,CL,118,0,RL,103,SA,200,DS,53,0,19:16:00,0,0,0,203.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:16:00,0,0,0,0,0,0,0,0
,288,S,206,A,94,61,22,22,28,8,8,44,18,17,0,0,0,64,1,19:16:00,1,1,1,48,48,4,133,33.25
,288,S,270,B,16,18,2,1,42,2,2,-,-,- ,-,-,- ,54,1,19:16:00,1,1,1,4,4,2,60,30
A=<76 ,B=#28,,,,,,,,,,,,,,,,,,1,19:16:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:17,SS,6M+,PL,2.2#,PV,2.3,CL,105,0,RL,105,SA,18,DS,114,,0,19:17:00,0,0,0,210,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:17:00,0,0,0,0,0,0,0,0
,183,S,20,AC,67,76,8,15,85,14,18,54,11,14,16,4,4,116,1,19:17:00,1,1,1,37,37,4,231,57.75
,183,S,21,B,33,37,5,4,78,8,9,33,3,4,-,-,- ,65,1,19:17:00,1,1,1,16,16,3,148,49.3333333333333
,184,S,161,A,112,79,20,27,78,23,30,85,27,39,40,15,14,100,1,19:17:00,1,0,0,85,0,4,0,0
,184,S,162,B,27,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,19:17:00,1,0,0,0,0,2,0,0
,183,S,183,B,33,37,5,4,78,8,9,-,-,- ,-,-,- ,65,1,19:17:00,1,1,0,13,0,2,0,0
,183,L,7,AC,67,76,8,15,-,-,- ,-,-,- ,-,-,- ,780,1,19:17:00,1,1,0,8,0,1,0,0
A=<41 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:17:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:17,SS,10,-,PL,4#2#,PV,4.2,CL,120,0,RL,103,SA,136,DS,152,0,19:17:00,0,0,0,136,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:17:00,0,0,0,0,0,0,0,0
,354,S,30,A,41,66,9,9,67,11,9,47,6,6,-,-,- ,68,1,19:17:00,1,1,1,26,26,3,180,60
,354,S,31,B,84,14,5,4,45,16,15,6,2,2,-,-,- ,43,1,19:17:00,1,1,1,23,23,3,65,21.6666666666667
,182,S,34,A,76,5,2,1,52,13,14,-,-,- ,-,-,- ,59,1,19:17:00,1,0,0,15,0,2,0,0
A=42,B=<58 ,,,,,,,,,,,,,,,,,,1,19:17:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:18,SS,85M+,PL,6.2#,PV,6.3,CL,120,0,RL,140,SA,313,DS,147,,0,19:18:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:18:00,0,0,0,0,0,0,0,0
,908,S,287,AC,70,-,-,- ,133,14,27,51,9,9,-,-,- ,99,1,19:18:00,1,0,0,23,0,2,0,0
,196,S,310,A,30,158,5,13,83,6,7,92,6,8,-,-,- ,159,1,19:18:00,1,1,1,17,17,3,333,111
,196,S,311,ABE,54,22,5,5,58,7,10,45,8,8,29,6,6,55,1,19:18:00,1,1,1,26,26,4,154,38.5
,196,S,312,D,40,59,5,7,91,7,12,149,3,23,69,8,8,114,1,19:18:00,1,1,1,23,23,4,368,92
,197,L,71,ABF,43,36,6,5,47,7,8,-,-,- ,-,-,- ,560,1,19:18:00,1,0,0,13,0,2,0,0
,197,L,72,ABF,43,65,9,9,74,8,10,-,-,- ,-,-,- ,480,1,19:18:00,1,0,0,17,0,2,0,0
A=<19 ,B=20,C=#25,D=23,E=17,,,,,,,,,,,,,,,1,19:18:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:18,SS,58,-,PL,3.3,PV,2.3,CL,117,0,RL,101,SA,201,DS,55,0,19:18:00,0,0,0,204.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:18:00,0,0,0,0,0,0,0,0
,288,S,206,A,104,57,22,22,35,11,11,31,14,13,0,0,0,64,1,19:18:00,1,1,1,47,47,4,123,30.75
,288,S,270,B,21,32,2,2,31,2,2,-,-,- ,-,-,- ,43,1,19:18:00,1,1,1,4,4,2,63,31.5
A=<78 ,B=#26,,,,,,,,,,,,,,,,,,1,19:18:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:19,SS,6M+,PL,2.2#,PV,2.3,CL,103,0,RL,98,SA,20,DS,80,,0,19:19:00,0,0,0,201,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:19:00,0,0,0,0,0,0,0,0
,183,S,20,AC,71,80,12,16,50,12,11,53,15,15,26,6,7,95,1,19:19:00,1,1,1,45,45,4,209,52.25
,183,S,21,B,33,18,2,2,98,12,12,37,3,4,-,-,- ,85,1,19:19:00,1,1,1,17,17,3,153,51
,184,S,161,A,76,54,14,13,67,16,17,66,19,20,20,4,5,83,1,19:19:00,1,0,0,53,0,4,0,0
,184,S,162,B,27,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,19:19:00,1,0,0,0,0,2,0,0
,183,S,183,B,33,18,2,2,98,12,12,-,-,- ,-,-,- ,85,1,19:19:00,1,1,0,14,0,2,0,0
,183,L,7,AC,71,80,12,16,-,-,- ,-,-,- ,-,-,- ,640,1,19:19:00,1,1,0,12,0,1,0,0
A=<41 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:19,SS,10,-,PL,4#2#,PV,4.2,CL,120,8,RL,102,SA,30,DS,56,0,19:19:00,0,0,0,30,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:19:00,0,0,0,0,0,0,0,0
,354,S,30,A,30,56,7,5,53,8,5,30,4,3,-,-,- ,62,1,19:19:00,1,1,1,19,19,3,139,46.3333333333333
,354,S,31,B,68,27,7,7,31,7,8,10,2,3,-,-,- ,39,1,19:19:00,1,1,1,16,16,3,68,22.6666666666667
,182,S,34,A,71,44,12,9,45,11,11,-,-,- ,-,-,- ,51,1,19:19:00,1,0,0,23,0,2,0,0
A=42,B=<58 ,,,,,,,,,,,,,,,,,,1,19:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:20,SS,85M+,PL,1.2#,PV,1.4,CL,120,0,RL,139,SA,310,DS,123,,0,19:20:00,0,0,0,259,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:20:00,0,0,0,0,0,0,0,0
,908,S,287,AC,73,-,-,- ,143,6,30,32,7,6,-,-,- ,125,1,19:20:00,1,0,0,13,0,2,0,0
,196,S,310,A,49,80,8,11,80,7,12,67,7,9,-,-,- ,123,1,19:20:00,1,1,1,22,22,3,227,75.6666666666667
,196,S,311,ABE,49,24,5,5,44,4,7,48,6,8,45,6,8,52,1,19:20:00,1,1,1,21,21,4,161,40.25
,196,S,312,D,47,47,5,7,94,13,14,124,15,22,51,8,7,126,1,19:20:00,1,1,1,41,41,4,316,79
,197,L,71,ABF,62,77,11,16,71,11,17,-,-,- ,-,-,- ,720,1,19:20:00,1,0,0,22,0,2,0,0
,197,L,72,ABF,62,38,4,8,38,8,7,-,-,- ,-,-,- ,460,1,19:20:00,1,0,0,12,0,2,0,0
A=<13 ,B=20,C=#25,D=28,E=18,,,,,,,,,,,,,,,1,19:20:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:20,SS,58,-,PL,3.3,PV,3.3,CL,104,0,RL,99,SA,200,DS,30,0,19:20:00,0,0,0,203.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:20:00,0,0,0,0,0,0,0,0
,288,S,206,A,98,65,23,24,18,7,5,35,11,14,0,0,0,61,1,19:20:00,1,1,1,41,41,4,118,29.5
,288,S,270,B,21,38,3,3,21,2,1,-,-,- ,-,-,- ,37,1,19:20:00,1,1,1,5,5,2,59,29.5
A=<77 ,B=#24,,,,,,,,,,,,,,,,,,1,19:20:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:21,SS,6M+,PL,2.2#,PV,5.3,CL,97,0,RL,92,SA,20,DS,80,,0,19:21:00,0,0,0,189,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:21:00,0,0,0,0,0,0,0,0
,183,S,20,AC,71,80,12,16,50,12,11,53,15,15,26,6,7,81,1,19:21:00,1,1,1,45,45,4,209,52.25
,183,S,21,B,33,18,2,2,98,12,12,37,3,4,-,-,- ,94,1,19:21:00,1,1,1,17,17,3,153,51
,184,S,161,A,105,46,15,15,50,18,18,36,16,15,22,8,7,63,1,19:21:00,1,0,0,57,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,19:21:00,1,0,0,0,0,2,0,0
,183,S,183,B,33,18,2,2,98,12,12,-,-,- ,-,-,- ,94,1,19:21:00,1,1,0,14,0,2,0,0
,183,L,7,AC,71,80,12,16,-,-,- ,-,-,- ,-,-,- ,540,1,19:21:00,1,1,0,12,0,1,0,0
A=<39 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,19:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:21,SS,10,-,PL,4#2#,PV,3.2,CL,120,0,RL,102,SA,30,DS,65,0,19:21:00,0,0,0,30,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:21:00,0,0,0,0,0,0,0,0
,354,S,30,A,35,59,7,7,49,7,6,65,10,7,-,-,- ,62,1,19:21:00,1,1,1,24,24,3,173,57.6666666666667
,354,S,31,B,90,24,10,8,36,14,13,8,3,3,-,-,- ,36,1,19:21:00,1,1,1,27,27,3,68,22.6666666666667
,182,S,34,A,60,23,2,4,43,9,9,-,-,- ,-,-,- ,46,1,19:21:00,1,0,0,11,0,2,0,0
A=42,B=<58 ,,,,,,,,,,,,,,,,,,1,19:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:22,SS,85M+,PL,1.2#,PV,1.4,CL,120,0,RL,136,SA,310,DS,109,,0,19:22:00,0,0,0,256,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:22:00,0,0,0,0,0,0,0,0
,908,S,287,AC,86,-,-,- ,124,21,31,29,8,6,-,-,- ,132,1,19:22:00,1,0,0,29,0,2,0,0
,196,S,310,A,47,106,10,14,55,6,8,70,8,9,-,-,- ,109,1,19:22:00,1,1,1,24,24,3,231,77
,196,S,311,ABE,47,6,2,1,61,8,9,60,9,9,47,9,8,56,1,19:22:00,1,1,1,28,28,4,174,43.5
,196,S,312,D,44,75,11,10,56,9,8,80,14,13,37,5,5,110,1,19:22:00,1,1,1,39,39,4,248,62
,197,L,71,ABF,62,77,11,16,71,11,17,-,-,- ,-,-,- ,840,1,19:22:00,1,0,0,22,0,2,0,0
,197,L,72,ABF,62,38,4,8,38,8,7,-,-,- ,-,-,- ,460,1,19:22:00,1,0,0,12,0,2,0,0
A=<13 ,B=20,C=#25,D=28,E=18,,,,,,,,,,,,,,,1,19:22:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:22,SS,58,+,PL,2.3,PV,2.3,CL,97,0,RL,94,SA,200,DS,41,0,19:22:00,0,0,0,202.3,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:22:00,0,0,0,0,0,0,0,0
,288,S,206,A,96,74,24,27,46,13,13,57,20,23,0,0,0,67,1,19:22:00,1,1,1,57,57,4,177,44.25
,288,S,270,B,21,0,0,0,0,0,0,-,-,- ,-,-,- ,20,1,19:22:00,1,1,1,0,0,2,0,0
A=<75 ,B=#24,,,,,,,,,,,,,,,,,,1,19:22:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,19:22,SS,6M+,PL,2.2#,PV,3.3,CL,89,-2,RL,89,SA,20,DS,76,,0,19:22:00,0,0,0,178,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,19:22:00,0,0,0,0,0,0,0,0
,183,S,20,AC,43,76,8,9,36,5,5,41,7,7,20,4,3,78,1,19:22:00,1,1,1,24,24,4,173,43.25
,183,S,21,B,32,40,4,4,44,6,5,54,8,6,-,-,- ,78,1,19:22:00,1,1,1,18,18,3,138,46
,184,S,161,A,82,65,16,16,102,27,28,59,21,20,29,8,7,77,1,19:22:00,1,0,0,72,0,4,0,0
,184,S,162,B,38,14,2,2,11,2,1,-,-,- ,-,-,- ,6,1,19:22:00,1,0,0,4,0,2,0,0
,183,S,183,B,32,40,4,4,44,6,5,-,-,- ,-,-,- ,74,1,19:22:00,1,1,0,10,0,2,0,0
,183,L,7,AC,43,76,8,9,-,-,- ,-,-,- ,-,-,- ,440,1,19:22:00,1,1,0,8,0,1,0,0
