Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:10:00,0,0,0,0,0,0,0,0
,354,S,30,A,57,28,9,5,14,5,3,16,5,3,-,-,- ,21,1,00:10:00,1,1,1,19,19,3,58,19.3333333333333
,354,S,31,B,21,26,3,2,27,3,2,13,2,1,-,-,- ,23,1,00:10:00,1,1,1,8,8,3,66,22
,182,S,34,A,35,13,2,1,104,4,13,-,-,- ,-,-,- ,61,1,00:10:00,1,0,0,6,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:10:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:10,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,165,,0,00:10:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:10:00,0,0,0,0,0,0,0,0
,908,S,287,AC,96,-,-,- ,13,5,4,5,2,1,-,-,- ,21,1,00:10:00,1,0,0,7,0,2,0,0
,196,S,310,A,61,30,5,5,51,8,9,169,3,29,-,-,- ,165,1,00:10:00,1,1,1,16,16,3,250,83.3333333333333
,196,S,311,ABE,61,0,0,0,19,4,4,18,3,4,12,3,3,34,1,00:10:00,1,1,1,10,10,4,49,12.25
,196,S,312,D,25,0,0,0,16,2,1,9,2,1,0,0,0,47,1,00:10:00,1,1,1,4,4,4,25,6.25
,197,L,71,ABF,69,36,11,9,31,10,8,-,-,- ,-,-,- ,400,1,00:10:00,1,0,0,21,0,2,0,0
,197,L,72,ABF,69,17,4,4,16,4,4,-,-,- ,-,-,- ,320,1,00:10:00,1,0,0,8,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:10:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:11,SS,6M+,PL,6.3,PV,6.3,CL,107,0,RL,88,SA,20,DS,16,,0,00:11:00,0,0,0,195,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:11:00,0,0,0,0,0,0,0,0
,183,S,20,AC,122,14,6,5,13,6,5,16,9,8,0,0,0,26,1,00:11:00,1,1,1,21,21,4,43,10.75
,183,S,21,B,41,63,10,8,82,10,12,36,6,5,-,-,- ,45,1,00:11:00,1,1,1,26,26,3,181,60.3333333333333
,184,S,161,A,106,9,3,3,25,10,9,19,9,8,0,0,0,27,1,00:11:00,1,0,0,22,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:11:00,1,0,0,0,0,2,0,0
